,postcode,locality,long,lat,dc
14463,2161,YENNORA,150.983724,-33.858335,LEIGHTONFIELD DF
14464,2162,CHESTER HILL,151.004128,-33.88349,LEIGHTONFIELD DF
14465,2162,SEFTON,151.004128,-33.88349,LEIGHTONFIELD DF
14466,2163,CARRAMAR,150.979458,-33.887203,LEIGHTONFIELD DF
14467,2163,LANSDOWNE,150.979458,-33.887203,LEIGHTONFIELD DF
14468,2163,VILLAWOOD,150.979458,-33.887203,LEIGHTONFIELD DF
14469,2164,SMITHFIELD,150.87502800000001,-33.844153000000006,SMITHFIELD WEST LPO
14470,2164,SMITHFIELD WEST,150.87502800000001,-33.844153000000006,SMITHFIELD WEST LPO
14471,2164,WETHERILL PARK,150.87502800000001,-33.844153000000006,LEIGHTONFIELD DF
14472,2164,WOODPARK,150.87502800000001,-33.844153000000006,LEIGHTONFIELD DF
14473,2165,FAIRFIELD,150.947496,-33.872434999999996,LEIGHTONFIELD DF
14474,2165,FAIRFIELD EAST,150.947496,-33.872434999999996,LEIGHTONFIELD DF
14475,2165,FAIRFIELD HEIGHTS,150.947496,-33.872434999999996,LEIGHTONFIELD DF
14476,2165,FAIRFIELD WEST,150.947496,-33.872434999999996,LEIGHTONFIELD DF
14477,2166,CABRAMATTA,150.92937,-33.892738,LEIGHTONFIELD DF
14478,2166,CABRAMATTA WEST,150.92937,-33.892738,LEIGHTONFIELD DF
14479,2166,CANLEY HEIGHTS,150.92937,-33.892738,LEIGHTONFIELD DF
14480,2166,CANLEY VALE,150.92937,-33.892738,LEIGHTONFIELD DF
14481,2166,LANSVALE,150.92937,-33.892738,LEIGHTONFIELD DF
14482,2167,GLENFIELD,150.89044099999998,-33.972167,PRESTONS DC
14483,2168,ASHCROFT,150.87534499999998,-33.915939,PRESTONS DC
14484,2168,BUSBY,150.87534499999998,-33.915939,PRESTONS DC
14485,2168,CARTWRIGHT,150.87534499999998,-33.915939,PRESTONS DC
14486,2168,GREEN VALLEY,150.87534499999998,-33.915939,PRESTONS DC
14487,2168,HECKENBERG,150.87534499999998,-33.915939,PRESTONS DC
14488,2168,HINCHINBROOK,150.87534499999998,-33.915939,PRESTONS DC
14489,2168,MILLER,150.87534499999998,-33.915939,
14490,2168,SADLEIR,150.87534499999998,-33.915939,PRESTONS DC
14491,2170,CASULA,150.921448,-33.928391999999995,CASULA MALL LPO
14492,2170,CASULA MALL,150.921448,-33.928391999999995,CASULA MALL LPO
14493,2170,CHIPPING NORTON,150.921448,-33.928391999999995,PRESTONS DC
14494,2170,HAMMONDVILLE,150.921448,-33.928391999999995,PRESTONS DC
14495,2170,LIVERPOOL,150.921448,-33.928391999999995,LIVERPOOL WESTFIELD POST SHOP
14496,2170,LIVERPOOL SOUTH,150.921448,-33.928391999999995,PRESTONS DC
14497,2170,LIVERPOOL WESTFIELD,150.921448,-33.928391999999995,LIVERPOOL WESTFIELD POST SHOP
14498,2170,LURNEA,150.921448,-33.928391999999995,PRESTONS DC
14499,2170,MOOREBANK,150.921448,-33.928391999999995,PRESTONS DC
14500,2170,MOUNT PRITCHARD,150.921448,-33.928391999999995,PRESTONS DC
14501,2170,PRESTONS,150.921448,-33.928391999999995,PRESTONS DC
14502,2170,WARWICK FARM,150.921448,-33.928391999999995,PRESTONS DC
14503,2171,CECIL HILLS,150.970931,-33.959617,NARELLAN DC
14504,2171,HORNINGSEA PARK,150.970931,-33.959617,NARELLAN DC
14505,2171,HOXTON PARK,150.970931,-33.959617,NARELLAN DC
14506,2171,WEST HOXTON,150.970931,-33.959617,NARELLAN DC
14507,2172,PLEASURE POINT,150.917444,-33.951109,NARELLAN DC
14508,2172,SANDY POINT,150.917444,-33.951109,NARELLAN DC
14509,2172,VOYAGER POINT,150.917444,-33.951109,NARELLAN DC
14510,2173,HOLSWORTHY,150.919554,-34.074239,PRESTONS DC
14511,2173,WATTLE GROVE,150.919554,-34.074239,PRESTONS DC
14512,2174,EDMONDSON PARK,150.856709,-33.977497,
14513,2174,INGLEBURN MILPO,150.856709,-33.977497,
14515,2176,ABBOTSBURY,150.88526000000002,-33.872014,LEIGHTONFIELD DF
14516,2176,BOSSLEY PARK,150.88526000000002,-33.872014,LEIGHTONFIELD DF
14517,2176,EDENSOR PARK,150.88526000000002,-33.872014,LEIGHTONFIELD DF
14518,2176,GREENFIELD PARK,150.88526000000002,-33.872014,LEIGHTONFIELD DF
14519,2176,PRAIRIEWOOD,150.88526000000002,-33.872014,LEIGHTONFIELD DF
14520,2176,ST JOHNS PARK,150.88526000000002,-33.872014,LEIGHTONFIELD DF
14521,2176,WAKELEY,150.88526000000002,-33.872014,LEIGHTONFIELD DF
14522,2177,BONNYRIGG,150.879379,-33.895053000000004,PRESTONS DC
14523,2177,BONNYRIGG HEIGHTS,150.879379,-33.895053000000004,PRESTONS DC
14529,2190,CHULLORA,151.05385800000002,-33.901925,LAKEMBA DC
14530,2190,GREENACRE,151.05385800000002,-33.901925,LAKEMBA DC
14531,2190,MOUNT LEWIS,151.05385800000002,-33.901925,LAKEMBA DC
14532,2191,BELFIELD,151.085513,-33.906803000000004,LAKEMBA DC
14533,2192,BELMORE,151.089663,-33.921018,LAKEMBA DC
14534,2193,ASHBURY,151.12086000000002,-33.910308,CROYDON PARK DC
14535,2193,CANTERBURY,151.12086000000002,-33.910308,CROYDON PARK DC
14536,2193,HURLSTONE PARK,151.12086000000002,-33.910308,CROYDON PARK DC
14537,2194,CAMPSIE,151.101777,-33.917601,CROYDON PARK DC
14538,2195,LAKEMBA,151.07693899999998,-33.924525,LAKEMBA DC
14539,2195,WILEY PARK,151.07693899999998,-33.924525,LAKEMBA DC
14540,2196,PUNCHBOWL,151.057799,-33.930089,LAKEMBA DC
14541,2196,ROSELANDS,151.057799,-33.930089,LAKEMBA DC
14542,2197,BASS HILL,150.998155,-33.901198,LEIGHTONFIELD DF
14543,2198,GEORGES HALL,150.986277,-33.908788,LEIGHTONFIELD DF
14544,2199,YAGOONA,151.023171,-33.905586,YAGOONA WEST LPO
14545,2199,YAGOONA WEST,151.023171,-33.905586,YAGOONA WEST LPO
14546,2200,BANKSTOWN,151.014937,-33.926559000000005,BANKSTOWN SQUARE POST SHOP
14547,2200,BANKSTOWN AIRPORT,151.014937,-33.926559000000005,
14548,2200,BANKSTOWN NORTH,151.014937,-33.926559000000005,BANKSTOWN NORTH LPO
14549,2200,BANKSTOWN SQUARE,151.014937,-33.926559000000005,BANKSTOWN SQUARE POST SHOP
14550,2200,CONDELL PARK,151.014937,-33.926559000000005,LEIGHTONFIELD DF
14551,2200,MANAHAN,151.014937,-33.926559000000005,MANAHAN LPO
14552,2200,MOUNT LEWIS,151.014937,-33.926559000000005,MOUNT LEWIS LPO
14553,2203,DULWICH HILL,151.138999,-33.90441,ALEXANDRIA DF
14554,2204,MARRICKVILLE,151.15553899999998,-33.912288000000004,MARRICKVILLE SOUTH LPO
14555,2204,MARRICKVILLE METRO,151.15553899999998,-33.912288000000004,MARRICKVILLE METRO LPO
14556,2204,MARRICKVILLE SOUTH,151.15553899999998,-33.912288000000004,MARRICKVILLE SOUTH LPO
14693,2145,WESTMEAD,150.957425,-33.813103999999996,SEVEN HILLS DF
14694,2146,OLD TOONGABBIE,150.959508,-33.789374,SEVEN HILLS DF
14695,2146,TOONGABBIE,150.959508,-33.789374,TOONGABBIE EAST LPO
14696,2146,TOONGABBIE EAST,150.959508,-33.789374,TOONGABBIE EAST LPO
14697,2147,KINGS LANGLEY,150.93583600000002,-33.766075,SEVEN HILLS DF
15835,2103,MONA VALE,151.302825,-33.679336,FRENCHS FOREST DEL FAC-DEL
15836,2104,BAYVIEW,151.290921,-33.664921,FRENCHS FOREST DEL FAC-DEL
15837,2105,CHURCH POINT,151.278293,-33.642202000000005,FRENCHS FOREST DEL FAC-DEL
15838,2105,ELVINA BAY,151.278293,-33.642202000000005,FRENCHS FOREST DEL FAC-DEL
15839,2105,LOVETT BAY,151.278293,-33.642202000000005,FRENCHS FOREST DEL FAC-DEL
15840,2105,SCOTLAND ISLAND,151.278293,-33.642202000000005,FRENCHS FOREST DEL FAC-DEL
15841,2106,NEWPORT,151.314599,-33.660707,FRENCHS FOREST DEL FAC-DEL
15842,2106,NEWPORT BEACH,151.314599,-33.660707,FRENCHS FOREST DEL FAC-DEL
15843,2107,AVALON,151.323289,-33.634816,FRENCHS FOREST DEL FAC-DEL
15844,2107,AVALON BEACH,151.323289,-33.634816,FRENCHS FOREST DEL FAC-DEL
15845,2107,BILGOLA,151.323289,-33.634816,FRENCHS FOREST DEL FAC-DEL
15846,2107,BILGOLA BEACH,151.323289,-33.634816,
15847,2107,BILGOLA PLATEAU,151.323289,-33.634816,
15848,2107,CAREEL BAY,151.323289,-33.634816,FRENCHS FOREST DEL FAC-DEL
15849,2107,CLAREVILLE,151.323289,-33.634816,FRENCHS FOREST DEL FAC-DEL
15850,2107,PARADISE BEACH,151.323289,-33.634816,FRENCHS FOREST DEL FAC-DEL
15851,2107,TAYLORS POINT,151.323289,-33.634816,FRENCHS FOREST DEL FAC-DEL
15852,2107,WHALE BEACH,151.323289,-33.634816,FRENCHS FOREST DEL FAC-DEL
15853,2108,COASTERS RETREAT,151.32275900000002,-33.60382,FRENCHS FOREST DEL FAC-DEL
15854,2108,CURRAWONG BEACH,151.32275900000002,-33.60382,FRENCHS FOREST DEL FAC-DEL
15855,2108,GREAT MACKEREL BEACH,151.32275900000002,-33.60382,FRENCHS FOREST DEL FAC-DEL
15856,2108,MORNING BAY,151.32275900000002,-33.60382,FRENCHS FOREST DEL FAC-DEL
15857,2108,PALM BEACH,151.32275900000002,-33.60382,FRENCHS FOREST DEL FAC-DEL
15858,2108,THE BASIN,151.32275900000002,-33.60382,FRENCHS FOREST DEL FAC-DEL
15859,2109,MACQUARIE UNIVERSITY,151.113473,-33.771558,NORTH RYDE DC
15860,2110,HUNTERS HILL,151.149126,-33.836102000000004,ST LEONARDS DEL FAC CPM
15861,2110,HUNTERS HILL WEST,151.149126,-33.836102000000004,
15862,2110,WOOLWICH,151.149126,-33.836102000000004,ST LEONARDS DEL FAC CPM
15863,2111,BORONIA PARK,151.12448799999999,-33.829953,BORONIA PARK LPO
15864,2111,GLADESVILLE,151.12448799999999,-33.829953,ST LEONARDS DEL FAC CPM
15865,2111,HENLEY,151.12448799999999,-33.829953,ST LEONARDS DEL FAC CPM
15866,2111,HUNTLEYS COVE,151.12448799999999,-33.829953,ST LEONARDS DEL FAC CPM
15867,2111,HUNTLEYS POINT,151.12448799999999,-33.829953,ST LEONARDS DEL FAC CPM
15868,2111,MONASH PARK,151.12448799999999,-33.829953,MONASH PARK LPO
15869,2111,TENNYSON POINT,151.12448799999999,-33.829953,ST LEONARDS DEL FAC CPM
15870,2112,DENISTONE EAST,151.10844699999998,-33.81658,NORTH RYDE DC
15871,2112,PUTNEY,151.10844699999998,-33.81658,NORTH RYDE DC
15872,2112,RYDE,151.10844699999998,-33.81658,NORTH RYDE DC
15873,2113,BLENHEIM ROAD,151.130233,-33.79419,NORTH RYDE DC
15874,2113,EAST RYDE,151.130233,-33.79419,NORTH RYDE DC
15875,2113,MACQUARIE CENTRE,151.130233,-33.79419,MACQUARIE CENTRE POST SHOP
15876,2113,MACQUARIE PARK,151.130233,-33.79419,NORTH RYDE DC
15877,2113,NORTH RYDE,151.130233,-33.79419,NORTH RYDE DC
15878,2114,DENISTONE,151.084181,-33.810990999999994,NORTH RYDE DC
15879,2114,DENISTONE WEST,151.084181,-33.810990999999994,NORTH RYDE DC
15880,2114,MEADOWBANK,151.084181,-33.810990999999994,NORTH RYDE DC
15881,2114,MELROSE PARK,151.084181,-33.810990999999994,NORTH RYDE DC
15882,2114,WEST RYDE,151.084181,-33.810990999999994,NORTH RYDE DC
15883,2115,ERMINGTON,151.059845,-33.813106,RYDALMERE DC
15884,2116,RYDALMERE,151.03694099999998,-33.814368,RYDALMERE DC
15885,2117,DUNDAS,151.04218,-33.797127,PARRAMATTA DC
15886,2117,DUNDAS VALLEY,151.04218,-33.797127,PARRAMATTA DC
15887,2117,OATLANDS,151.04218,-33.797127,PARRAMATTA DC
15888,2117,TELOPEA,151.04218,-33.797127,PARRAMATTA DC
15889,2118,CARLINGFORD,151.043518,-33.775596,CARLINGFORD NORTH LPO
15890,2118,CARLINGFORD COURT,151.043518,-33.775596,CARLINGFORD FRANCHISE
15891,2118,CARLINGFORD NORTH,151.043518,-33.775596,CARLINGFORD NORTH LPO
15892,2118,KINGSDENE,151.043518,-33.775596,KINGSDENE LPO
15893,2119,BEECROFT,151.064176,-33.755499,THORNLEIGH DC
15894,2119,CHELTENHAM,151.064176,-33.755499,THORNLEIGH DC
15895,2120,PENNANT HILLS,151.07359,-33.731105,THORNLEIGH DC
15896,2120,THORNLEIGH,151.07359,-33.731105,THORNLEIGH DC
15897,2120,WESTLEIGH,151.07359,-33.731105,THORNLEIGH DC
15898,2121,EPPING,151.079919,-33.774145000000004,NORTH RYDE DC
15899,2121,NORTH EPPING,151.079919,-33.774145000000004,NORTH RYDE DC
15900,2122,EASTWOOD,151.092072,-33.791357,NORTH RYDE DC
15901,2122,MARSFIELD,151.092072,-33.791357,NORTH RYDE DC
15902,2123,PARRAMATTA,150.999575,-33.815446,PARRAMATTA DC
15904,2125,WEST PENNANT HILLS,151.03180700000001,-33.752645,DURAL DC
15905,2126,CHERRYBROOK,151.043941,-33.724897999999996,DURAL DC
15909,2129,SYDNEY MARKETS,151.069553,-33.864104,SYDNEY MARKETS LPO
15910,2130,SUMMER HILL,151.135883,-33.892783,CROYDON PARK DC
15911,2131,ASHFIELD,151.124008,-33.887602,CROYDON PARK DC
15912,2132,CROYDON,151.11338500000002,-33.882419,CROYDON PARK DC
15913,2133,CROYDON PARK,151.102087,-33.898793,CROYDON PARK DC
15914,2133,ENFIELD SOUTH,151.102087,-33.898793,ENFIELD SOUTH LPO
15915,2134,BURWOOD,151.10175700000002,-33.880049,BURWOOD NORTH LPO
15916,2134,BURWOOD NORTH,151.10175700000002,-33.880049,BURWOOD NORTH LPO
15917,2135,STRATHFIELD,151.08475900000002,-33.881009000000006,LIDCOMBE DELIVERY CENTRE
15918,2136,BURWOOD HEIGHTS,151.087741,-33.892944,LIDCOMBE DELIVERY CENTRE
15919,2136,ENFIELD,151.087741,-33.892944,LIDCOMBE DELIVERY CENTRE
15920,2136,STRATHFIELD SOUTH,151.087741,-33.892944,LIDCOMBE DELIVERY CENTRE
15921,2137,BREAKFAST POINT,151.103751,-33.857490000000006,LIDCOMBE DELIVERY CENTRE
15922,2137,CABARITA,151.103751,-33.857490000000006,LIDCOMBE DELIVERY CENTRE
15923,2137,CONCORD,151.103751,-33.857490000000006,LIDCOMBE DELIVERY CENTRE
15924,2137,MORTLAKE,151.103751,-33.857490000000006,LIDCOMBE DELIVERY CENTRE
15925,2137,NORTH STRATHFIELD,151.103751,-33.857490000000006,LIDCOMBE DELIVERY CENTRE
15926,2138,CONCORD WEST,151.086036,-33.846098,LIDCOMBE DELIVERY CENTRE
15927,2138,LIBERTY GROVE,151.086036,-33.846098,LIDCOMBE DELIVERY CENTRE
15928,2138,RHODES,151.086036,-33.846098,LIDCOMBE DELIVERY CENTRE
15929,2139,CONCORD REPATRIATION HOSPITAL,151.09516299999999,-33.835993,LIDCOMBE DELIVERY CENTRE
15930,2140,HOMEBUSH,151.070853,-33.835018,LIDCOMBE DELIVERY CENTRE
15931,2140,HOMEBUSH SOUTH,151.070853,-33.835018,HOMEBUSH SOUTH LPO
15932,2140,HOMEBUSH WEST,151.070853,-33.835018,LIDCOMBE DELIVERY CENTRE
15933,2141,BERALA,151.044768,-33.872483,LIDCOMBE DELIVERY CENTRE
15934,2141,LIDCOMBE,151.044768,-33.872483,LIDCOMBE NORTH LPO
15935,2141,LIDCOMBE NORTH,151.044768,-33.872483,LIDCOMBE NORTH LPO
15936,2141,ROOKWOOD,151.044768,-33.872483,LIDCOMBE DELIVERY CENTRE
15937,2142,BLAXCELL,151.015196,-33.832747,BLAXCELL LPO
15938,2142,CAMELLIA,151.015196,-33.832747,LEIGHTONFIELD DF
15939,2142,GRANVILLE,151.015196,-33.832747,LEIGHTONFIELD DF
15940,2142,HOLROYD,151.015196,-33.832747,LEIGHTONFIELD DF
15941,2142,ROSEHILL,151.015196,-33.832747,LEIGHTONFIELD DF
15942,2143,BIRRONG,151.02193400000002,-33.885382,LEIGHTONFIELD DF
15943,2143,POTTS HILL,151.02193400000002,-33.885382,LEIGHTONFIELD DF
15944,2143,REGENTS PARK,151.02193400000002,-33.885382,LEIGHTONFIELD DF
15945,2144,AUBURN,151.026756,-33.851867999999996,LEIGHTONFIELD DF
15946,2144,AUBURN SOUTH,151.026756,-33.851867999999996,
15947,2145,GIRRAWEEN,150.957425,-33.813103999999996,SEVEN HILLS DF
15948,2145,GREYSTANES,150.957425,-33.813103999999996,SEVEN HILLS DF
15949,2145,MAYS HILL,150.957425,-33.813103999999996,SEVEN HILLS DF
15950,2145,PEMULWUY,150.957425,-33.813103999999996,SEVEN HILLS DF
15951,2145,PENDLE HILL,150.957425,-33.813103999999996,SEVEN HILLS DF
